"snapshot_id","price_rank","merchant_alias","price","min_amount","max_amount","recent_order_num","recent_execute_rate","gap_from_best_pct","snapshot_median_price"
2378,194,"merchant_056",91.4400,1000.00,189660.02,528,100.000,7.5765,91.0000
2378,195,"merchant_024",91.4500,1000.00,171013.70,1197,100.000,7.5882,91.0000
2378,196,"merchant_164",91.4500,2000.00,78388.02,860,100.000,7.5882,91.0000
2378,197,"merchant_195",91.4900,10000.00,100000.00,258,99.000,7.6353,91.0000
2378,198,"merchant_180",91.5000,50000.00,1000000.00,2765,100.000,7.6471,91.0000
2378,199,"merchant_094",91.7000,1000.00,42519.11,25,83.000,7.8824,91.0000
2378,200,"merchant_124",91.7800,2000.00,12497.34,304,100.000,7.9765,91.0000
2378,201,"merchant_047",91.7900,35000.00,1563693.16,794,98.000,7.9882,91.0000
2378,202,"merchant_230",91.8000,500.00,237607.05,252,100.000,8.0000,91.0000
2378,203,"merchant_230",91.8000,500.00,238307.04,252,100.000,8.0000,91.0000
2378,204,"merchant_146",91.8800,5000.00,357416.63,1049,100.000,8.0941,91.0000
2378,205,"merchant_210",91.9000,10000.00,200000.00,584,100.000,8.1176,91.0000
2378,206,"merchant_185",91.9000,20000.00,300000.00,1717,100.000,8.1176,91.0000
2378,207,"merchant_213",91.9000,500.00,411128.41,2769,100.000,8.1176,91.0000
2378,208,"merchant_055",91.9400,7000.00,100000.00,94,100.000,8.1647,91.0000
2378,209,"merchant_121",91.9900,1000.00,725820.62,1181,99.000,8.2235,91.0000
2378,210,"merchant_106",92.0000,3000.00,200000.00,1245,98.000,8.2353,91.0000
2378,211,"merchant_155",92.0000,500.00,201034.97,207,99.000,8.2353,91.0000
2378,212,"merchant_052",92.0000,15000.00,300000.00,733,99.000,8.2353,91.0000
2378,213,"merchant_194",92.0000,20000.00,565717.17,2001,100.000,8.2353,91.0000
2378,214,"merchant_187",92.0000,30000.00,1012000.00,356,99.000,8.2353,91.0000
2378,215,"merchant_201",92.0000,30000.00,226122.43,169,99.000,8.2353,91.0000
2378,216,"merchant_034",92.0000,25000.00,270568.64,187,98.000,8.2353,91.0000
2378,217,"merchant_007",92.0000,30000.00,925025.18,305,100.000,8.2353,91.0000
2378,218,"merchant_170",92.0000,46000.00,46000.00,270,94.000,8.2353,91.0000
2378,219,"merchant_236",92.0000,3000.00,150000.00,2833,100.000,8.2353,91.0000
2378,220,"merchant_001",92.0000,20000.00,931750.15,1693,100.000,8.2353,91.0000
2378,221,"merchant_134",92.0000,18000.00,133058.12,1633,100.000,8.2353,91.0000
2378,222,"merchant_084",92.0100,10000.00,20000.00,181,93.000,8.2471,91.0000
2378,223,"merchant_018",92.1000,25000.00,357983.29,522,100.000,8.3529,91.0000
2378,224,"merchant_158",92.2000,1000.00,500000.00,1366,99.000,8.4706,91.0000
2378,225,"merchant_064",92.4000,500.00,216602.01,546,99.000,8.7059,91.0000
2378,226,"merchant_205",92.4000,10000.00,49148.35,140,100.000,8.7059,91.0000
2378,227,"merchant_056",92.4400,1000.00,191734.17,528,100.000,8.7529,91.0000
2378,228,"merchant_164",92.4500,1000.00,79245.19,860,100.000,8.7647,91.0000
2378,229,"merchant_180",92.5000,20000.00,1000000.00,2765,100.000,8.8235,91.0000
2378,230,"merchant_208",92.5000,20000.00,69009.56,191,99.000,8.8235,91.0000
2378,231,"merchant_050",92.5000,30000.00,200000.00,553,100.000,8.8235,91.0000
2378,232,"merchant_159",92.5000,20000.00,1000000.00,1280,100.000,8.8235,91.0000
2378,233,"merchant_128",92.5500,15000.00,90000.00,196,100.000,8.8824,91.0000
2378,234,"merchant_111",92.5500,20000.00,300000.00,508,100.000,8.8824,91.0000
2378,235,"merchant_185",92.9000,15000.00,250000.00,1717,100.000,9.2941,91.0000
2378,236,"merchant_210",92.9000,3000.00,300000.00,584,100.000,9.2941,91.0000
2378,237,"merchant_115",92.9000,500.00,1107900.03,2924,99.000,9.2941,91.0000
